baseline,precision_micro,recall_micro,f1_micro,should_split_accuracy
heuristic,0.8960176991150443,0.9574468085106383,0.9257142857142857,0.9642058165548099
ml,0.4294049008168028,0.8699763593380615,0.575,0.9485458612975392
